sample,name,sigma_v_kms,sigma_v_err,z_lens,z_source,theta_E_arcsec,grade
SLACS (Bolton+2008),J0029-0055,229,18,0.2270,0.9313,0.96,A
SLACS (Bolton+2008),J0037-0942,279,14,0.1955,0.6322,1.53,A
SLACS (Bolton+2008),J0044+0113,266,13,0.1196,0.1965,0.79,A
SLACS (Bolton+2008),J0109+1500,251,19,0.2939,0.5248,0.69,A
SLACS (Bolton+2008),J0216-0813,333,23,0.3317,0.5235,1.16,A
SLACS (Bolton+2008),J0252+0039,164,12,0.2803,0.9818,1.04,A
SLACS (Bolton+2008),J0330-0020,212,21,0.3507,1.0709,1.10,A
SLACS (Bolton+2008),J0405-0455,160,8,0.0753,0.8098,0.80,A
SLACS (Bolton+2008),J0728+3835,214,11,0.2058,0.6877,1.25,A
SLACS (Bolton+2008),J0737+3216,338,17,0.3223,0.5812,1.00,A
SLACS (Bolton+2008),J0822+2652,259,15,0.2414,0.5941,1.17,A
SLACS (Bolton+2008),J0841+3824,225,11,0.1159,0.6567,1.41,A
SLACS (Bolton+2008),J0912+0029,326,16,0.1642,0.3239,1.63,A
SLACS (Bolton+2008),J0935-0003,396,35,0.3475,0.4670,0.87,A
SLACS (Bolton+2008),J0936+0913,243,12,0.1897,0.5880,1.09,A
SLACS (Bolton+2008),J0946+1006,263,21,0.2219,0.6085,1.38,A
SLACS (Bolton+2008),J0955+0101,192,13,0.1109,0.3159,0.91,A
SLACS (Bolton+2008),J0956+5100,334,17,0.2405,0.4699,1.33,A
SLACS (Bolton+2008),J0959+4416,244,19,0.2369,0.5315,0.96,A
SLACS (Bolton+2008),J0959+0410,197,13,0.1260,0.5350,0.99,A
SLACS (Bolton+2008),J1016+3859,247,13,0.1679,0.4394,1.09,A
SLACS (Bolton+2008),J1020+1122,282,18,0.2822,0.5530,1.20,A
SLACS (Bolton+2008),J1023+4230,242,15,0.1912,0.6960,1.41,A
SLACS (Bolton+2008),J1029+0420,210,11,0.1045,0.6154,1.01,A
SLACS (Bolton+2008),J1032+5322,296,15,0.1334,0.3290,1.03,A
SLACS (Bolton+2008),J1103+5322,196,12,0.1582,0.7353,1.02,A
SLACS (Bolton+2008),J1106+5228,262,13,0.0955,0.4069,1.23,A
SLACS (Bolton+2008),J1112+0826,320,20,0.2730,0.6295,1.49,A
SLACS (Bolton+2008),J1134+6027,239,12,0.1528,0.4742,1.10,A
SLACS (Bolton+2008),J1142+1001,221,22,0.2218,0.5039,0.98,A
SLACS (Bolton+2008),J1143-0144,269,13,0.1060,0.4019,1.68,A
SLACS (Bolton+2008),J1153+4612,226,15,0.1797,0.8751,1.05,A
SLACS (Bolton+2008),J1204+0358,267,17,0.1644,0.6307,1.31,A
SLACS (Bolton+2008),J1205+4910,281,14,0.2150,0.4808,1.22,A
SLACS (Bolton+2008),J1213+6708,292,15,0.1229,0.6402,1.42,A
SLACS (Bolton+2008),J1218+0830,219,11,0.1350,0.7172,1.45,A
SLACS (Bolton+2008),J1250+0523,252,14,0.2318,0.7953,1.13,A
SLACS (Bolton+2008),J1250-0135,246,12,0.0871,0.3526,,A
SLACS (Bolton+2008),J1259+6134,253,16,0.2334,0.4488,,A
SLACS (Bolton+2008),J1402+6321,267,17,0.2046,0.4814,1.35,A
SLACS (Bolton+2008),J1403+0006,213,17,0.1888,0.4730,0.83,A
SLACS (Bolton+2008),J1416+5136,240,25,0.2987,0.8111,1.37,A
SLACS (Bolton+2008),J1420+6019,205,10,0.0629,0.5351,1.04,A
SLACS (Bolton+2008),J1430+4105,322,32,0.2850,0.5753,1.52,A
SLACS (Bolton+2008),J1432+6317,199,10,0.1230,0.6643,1.26,A
SLACS (Bolton+2008),J1436-0000,224,17,0.2852,0.8049,1.12,A
SLACS (Bolton+2008),J1443+0304,209,11,0.1338,0.4187,0.81,A
SLACS (Bolton+2008),J1451-0239,223,14,0.1254,0.5203,1.04,A
SLACS (Bolton+2008),J1525+3327,264,26,0.3583,0.7173,1.31,A
SLACS (Bolton+2008),J1531-0105,279,14,0.1596,0.7439,1.71,A
SLACS (Bolton+2008),J1538+5817,189,12,0.1428,0.5312,1.00,A
SLACS (Bolton+2008),J1621+3931,236,20,0.2449,0.6021,1.29,A
SLACS (Bolton+2008),J1627-0053,290,15,0.2076,0.5241,1.23,A
SLACS (Bolton+2008),J1630+4520,276,16,0.2479,0.7933,1.78,A
SLACS (Bolton+2008),J1636+4707,231,15,0.2282,0.6745,1.09,A
SLACS (Bolton+2008),J2141-0001,181,14,0.1380,0.7127,,A
SLACS (Bolton+2008),J2238-0754,198,11,0.1371,0.7126,1.27,A
SLACS (Bolton+2008),J2300+0022,279,17,0.2285,0.4635,1.24,A
SLACS (Bolton+2008),J2302-0840,237,12,0.0901,0.2224,,A
SLACS (Bolton+2008),J2303+1422,255,16,0.1553,0.5170,1.62,A
SLACS (Bolton+2008),J2321-0939,249,12,0.0819,0.5324,1.60,A
SLACS (Bolton+2008),J2341+0000,207,13,0.1860,0.8070,1.44,A
