index,lensed,completed,z_lens,z_source,theta_E_arcsec,sigma_v_kms,sigma_v_F115W_kms,sigma_v_F150W_kms,sigma_v_F277W_kms,einstein_mass_msun,lens_mag_F115W_ab,lens_mag_F150W_ab,lens_mag_F277W_ab
0,0,1,0.84,2.57143,0,149.087,147.408,149.087,162.511,0,23.3153,22.838,22.1482
1,0,1,0.640675,2.84615,0,188.241,nan,nan,nan,0,19.6929,19.2562,18.6956
2,0,1,0.44,3.16667,0,94.1347,102.844,94.1347,89.7912,0,23.1806,23.1368,23.0266
3,0,1,0.29,2.33333,0,126.303,132.145,126.303,115.63,0,21.0353,20.8036,20.8716
4,0,1,1.07,1.94118,0,145.898,143.989,145.898,163.32,0,24.0639,23.5786,22.7733
5,0,1,1.71,1.5,0,215.966,215.966,207.34,227.473,0,23.5567,23.3057,22.5878
6,0,1,1.67,1.22222,0,211.232,229.495,210.716,211.232,0,23.2298,23.1725,22.8465
7,0,1,0.490843,3.16667,0,131.725,nan,nan,nan,0,19.4562,18.8868,18.1561
8,0,1,0.9,1.08333,0,158.85,167.617,158.041,158.85,0,22.9414,22.7688,22.4312
9,0,1,0.243997,1.5641,0,196.269,nan,nan,nan,0,18.1146,17.7083,17.8115
10,0,1,0.44,1.22222,0,92.0155,97.0521,92.0155,90.0367,0,23.4323,23.2357,23.0147
11,0,1,0.76,2.7037,0,120.298,120.298,116.938,123.404,0,23.9316,23.6265,23.0774
12,0,1,0.67,1.94118,0,125.15,130.876,121.804,125.15,0,23.2316,23.1155,22.6824
13,0,1,1.05,2.7037,0,160.139,160.139,154.693,165.561,0,23.5517,23.2739,22.6636
14,0,1,0.11,1.5641,0,101.167,108.219,101.167,84.6084,0,19.5718,19.4364,19.8973
15,0,1,1.06,2.125,0,161.236,158.811,161.236,186.049,0,23.6133,23.1194,22.1823
16,0,1,0.47,2.33333,0,165.435,169.843,165.435,164.079,0,21.1722,20.8582,20.5786
17,0,1,2.06,1.7027,0,234.158,225.398,234.158,277.147,0,23.8655,23.2719,22.2244
18,0,1,0.41,1.43902,0,95.776,101.568,95.776,91.323,0,23.0535,22.8804,22.7717
19,0,1,0.84,2.7037,0,125.104,133.097,124.706,125.104,0,23.7588,23.6135,23.2843
20,0,1,0.55,1.43902,0,132.84,140.487,132.84,130.587,0,22.4051,22.22,21.9789
21,0,1,0.67,2.57143,0,104.483,106.107,101.053,104.483,0,24.1428,23.9266,23.4663
22,0,1,0.1,1.08333,0,80,78.684,73.134,60.5586,0,20.7348,20.6243,21.1284
23,0,1,0.11,1.32558,0,80,58.3693,54.1607,45.404,0,22.253,22.1499,22.6004
24,0,1,0.32,1.17391,0,101.314,109.277,101.314,90.8051,0,22.1069,22.0074,22.1676
25,0,1,0.25,4,0,80,82.6885,76.5654,70.5256,0,22.7035,22.6095,22.651
26,0,1,1.3,1.08333,0,187.353,192.924,186.401,187.353,0,23.3146,23.0359,22.6984
27,0,1,0.808909,1.7027,0,285.315,nan,nan,nan,0,19.8811,19.4247,18.7504
28,0,1,0.21,1,0,80,69.3109,65.4453,62.6716,0,23.0433,22.8644,22.7371
29,0,1,0.64,3.54545,0,103.234,109.897,100.699,103.234,0,23.8695,23.821,23.3976
30,0,1,0.9,2.22581,0,163.919,175.067,163.919,163.782,0,22.7525,22.6102,22.2984
31,0,1,0.89,1.5641,0,123.165,123.165,112.763,128.176,0,24.2499,24.205,23.3332
32,0,1,0.63,3.16667,0,109.739,111.245,107.566,109.739,0,23.775,23.493,23.0907
33,0,1,0.48,1.32558,0,120.486,123.213,120.486,118.335,0,22.6206,22.2897,22.0525
34,0,1,0.62,1.22222,0,150.055,162.856,150.055,147.555,0,22.0776,22.0051,21.7626
35,0,1,1.77,4,0,209.278,209.278,203.484,211.184,0,23.7851,23.479,23.0023
36,0,1,1.49,2.22581,0,210.307,223.245,209.633,210.307,0,23.0455,22.8906,22.5612
37,0,1,0.44,3.16667,0,94.4208,101.217,94.4208,87.6418,0,23.2498,23.1236,23.1318
38,0,1,0.45,2.44828,0,122.64,129.729,122.64,114.875,0,22.2299,22.0459,22.0146
39,0,1,2.5,1.94118,0,216.347,216.347,214.718,290.12,0,24.5541,24.1588,22.5363
40,0,1,1.69,2.0303,0,191.82,184.702,191.82,245.113,0,24.2046,23.6122,22.2321
41,0,1,0.82,1.5641,0,125.427,135.569,125.427,122.246,0,23.6147,23.5243,23.3205
42,0,1,0.45,1.04082,0,120.821,124.499,120.821,120.425,0,22.4086,22.1108,21.8096
43,0,1,0.31382,2.22581,0,203.51,nan,nan,nan,0,18.8552,18.4503,18.2574
44,0,1,1.55,3.16667,0,180.592,195.349,180.592,179.18,0,23.7306,23.6436,23.3623
45,0,1,0.25,2.125,0,117.1,123.405,117.1,106.728,0,20.9646,20.7643,20.8517
46,0,1,0.78,4,0,131.329,142.458,129.971,131.329,0,23.2664,23.2367,22.8761
47,0,1,0.8,3.34783,0,129.99,140.854,129.648,129.99,0,23.3829,23.3148,22.988
48,0,1,0.43,2.125,0,118.227,123.004,118.227,114.644,0,22.3441,22.088,21.9062
49,0,1,1.67,1.38095,0,216.468,227.864,214.075,216.468,0,23.2608,23.1038,22.7401
50,0,1,0.63,3.16667,0,149.877,155.505,147.331,149.877,0,22.3204,22.1268,21.737
51,0,1,0.22,2.7037,0,114.617,124.654,114.617,94.4549,0,20.6075,20.544,21.0688
52,0,1,0.68,1.38095,0,139.011,139.011,136.25,152.623,0,23.0089,22.6679,21.8597
53,0,1,0.63,1,0,127.292,137.042,127.292,125.619,0,22.8693,22.7617,22.5038
54,0,1,1.92,3.7619,0,235.116,242.65,235.116,233.204,0,23.3587,23.0676,22.7876
55,0,1,1.33,3.34783,0,175.651,177.313,175.603,175.651,0,23.7421,23.3561,23.0395
56,0,1,1.04,1.77778,0,152.937,162.229,152.543,152.937,0,23.4698,23.3091,22.9825
57,0,1,0.63,1.38095,0,132.968,136.984,131.6,132.968,0,22.8711,22.6172,22.2568
58,0,1,0.842398,2.44828,0,255.861,nan,nan,nan,0,19.9214,19.5254,18.8707
59,0,1,0.23,1.04082,0,80,74.841,69.4033,61.6989,0,22.9318,22.8313,23.0269
60,0,1,0.59,1.12766,0,141.589,151.071,141.589,138.742,0,22.2735,22.1269,21.8997
61,0,1,0.91,3,0,150.376,155.914,147.945,150.376,0,23.2852,23.085,22.6988
62,0,1,0.8,1.22222,0,119.982,119.77,119.982,135.718,0,24.0871,23.6513,22.8007
63,0,1,1.93,1.77778,0,223.362,223.37,223.362,221.224,0,23.732,23.3041,23.0305
64,0,1,0.45,3,0,103.453,110.79,103.453,97.9741,0,22.9153,22.7848,22.7057
65,0,1,0.61,2.33333,0,133.627,140.563,133.627,127.568,0,22.6742,22.4659,22.352
66,0,1,0.93,2.84615,0,137.063,147.385,137.063,136.634,0,23.5876,23.4748,23.1731
67,0,1,0.11,2.33333,0,80,66.0226,61.322,50.9406,0,21.718,21.6106,22.1007
68,0,1,1.6,1.7027,0,213.78,199.242,213.78,270.264,0,23.7296,22.9956,21.662
69,0,1,0.67,1.63158,0,129.088,138.901,129.088,125.691,0,22.9732,22.8633,22.6637
70,0,1,0.47,2.84615,0,136.748,139.637,136.748,135.658,0,22.0226,21.6853,21.4047
71,0,1,0.65,2.125,0,128.761,139.155,128.761,125.836,0,22.8852,22.7943,22.5787
72,0,1,0.10545,1.7027,0,121.616,nan,nan,nan,0,17.7439,17.5182,17.8283
73,0,1,0.68,1.77778,0,126.912,123.448,126.912,140.64,0,23.5245,22.9763,22.2148
74,0,1,0.61,1.85714,0,114.281,120.358,114.281,106.581,0,23.3482,23.1451,23.1326
75,0,1,0.45,2.22581,0,93.5527,97.9683,93.5527,89.8416,0,23.4494,23.2216,23.082
76,0,1,0.38,1.7027,0,198.479,203.197,198.479,194.591,0,19.8478,19.5217,19.2922
77,0,1,0.74,1.43902,0,162.019,162.019,156.817,171.864,0,22.5677,22.2813,21.568
78,0,1,1.34,1,0,197.534,207.058,197.534,196.917,0,23.0887,22.8651,22.5633
79,0,1,1.87,1.17391,0,202.743,210.219,202.743,202.015,0,23.9117,23.6409,23.3411
80,0,1,0.5,1.04082,0,136.061,145.941,136.061,134.021,0,21.9913,21.8676,21.6178
81,0,1,2.06,1.5641,0,231.002,227.19,231.002,255.987,0,23.8311,23.3308,22.5694
82,0,1,0.73,3.34783,0,118.257,122.466,117.381,118.257,0,23.7471,23.5032,23.1555
83,0,1,1.31,2.84615,0,172.108,179.903,172.108,167.477,0,23.6386,23.4029,23.206
84,0,1,1.67,3.16667,0,227.035,217.374,227.035,273.451,0,23.4655,22.8485,21.7253
85,0,1,1.51,1.5,0,166.464,154.63,166.464,213.717,0,24.6759,23.9276,22.527
86,0,1,1.16,1.22222,0,163.873,170.802,163.873,162.708,0,23.5385,23.2903,23.0059
87,0,1,1.03,3,0,143.227,144.231,142.67,143.227,0,23.9546,23.5738,23.2415
88,0,1,1.1,1.12766,0,156.465,153.646,156.465,176.575,0,23.856,23.349,22.5085
