role,source_field,ra_deg,dec_deg,z_spec_desi,z_phot_legacy,sigma_v_kms,sigma_v_ivar,F115W_AB,F115W_AB_err,F150W_AB,F150W_AB_err,F277W_AB,F277W_AB_err,desi_targetid,desi_legacy_match_arcsec,jwst_match_arcsec
calibration,jades_gdn,189.128388,62.284797,0.172362,0.163957,98.525963,0.001819,18.775325,0.000334,18.567223,0.000352,18.846542,0.000192,39633413526782287,0.000000,0.039162
calibration,jades_gdn,189.205937,62.229701,0.089202,0.099463,125.639435,0.003367,17.670255,0.000190,17.461056,0.000208,17.999960,0.000113,39633413526782854,0.000000,0.015820
calibration,jades_gdn,189.220339,62.245579,0.320861,0.319458,213.672150,0.000624,18.482837,0.000343,18.142026,0.000335,18.081020,0.000142,39633413526782961,0.000000,0.035119
calibration,jades_gdn,189.243086,62.166140,0.135963,0.114342,100.065971,0.002221,17.254508,0.000081,17.058201,0.000088,17.431360,0.000050,39633413526783097,0.000000,0.015154
calibration,jades_gdn,189.316330,62.199723,0.105450,0.108335,121.616035,0.003715,17.477991,0.000115,17.258049,0.000130,17.582373,0.000100,39633413526783562,0.000000,0.237719
calibration,primer_uds,34.351636,-5.214494,0.921289,0.928667,290.526306,0.000310,20.875403,0.001154,20.388548,0.000707,19.614251,0.000373,39627658576789795,0.006808,0.109237
calibration,primer_uds,34.364473,-5.186948,0.243997,0.243982,196.269440,0.000915,19.313324,0.000316,18.865451,0.000247,18.851797,0.000242,39627658576790302,0.002228,0.068293
calibration,primer_uds,34.370838,-5.314284,0.492792,0.497431,274.333038,0.001739,19.781321,0.000441,19.330256,0.000326,18.965158,0.000260,39627658576790534,0.005123,0.012225
calibration,primer_uds,34.374104,-5.313411,0.642273,0.636517,260.061646,0.001824,20.216627,0.000604,19.757650,0.000424,19.259241,0.000298,39627658576790650,0.001116,0.051673
calibration,primer_uds,34.389881,-5.298798,0.307707,0.316187,237.993820,0.001966,19.137928,0.000308,18.690380,0.000236,18.657326,0.000239,39627658576791236,0.004501,0.018563
calibration,primer_uds,34.409098,-5.140149,0.128137,0.167775,122.141121,0.003994,18.981722,0.000273,18.720564,0.000234,19.160325,0.000283,39627658576791876,0.033703,0.011414
calibration,primer_uds,34.417037,-5.249146,0.640675,0.665352,188.241043,0.000941,20.855027,0.000736,20.346684,0.000523,19.736313,0.000366,39627658576792139,0.026601,0.053157
calibration,primer_uds,34.435697,-5.256182,0.494217,0.474279,253.945984,0.004649,19.593677,0.000390,19.165181,0.000296,18.811926,0.000239,39627658576792721,0.005278,0.017576
calibration,primer_uds,34.458487,-5.192740,0.333768,0.356499,234.130142,0.000710,19.667833,0.000456,19.265716,0.000334,19.177918,0.000293,39627658576793420,0.005057,0.034929
calibration,primer_uds,34.462120,-5.270958,0.430020,0.413465,132.952057,0.001654,20.194520,0.000505,19.786936,0.000392,19.562596,0.000337,39627658576793564,0.020806,0.027295
calibration,primer_uds,34.474223,-5.243095,0.197933,0.194567,107.718399,0.002321,20.094712,0.000516,19.774060,0.000407,19.967829,0.000425,39627658576793946,0.009382,0.033473
calibration,primer_uds,34.475374,-5.169700,0.669916,0.687811,296.089325,0.000175,21.026997,0.000952,20.447167,0.000600,19.505548,0.000333,39627658576793988,0.001706,0.094934
calibration,primer_uds,34.508961,-5.155595,0.276882,0.278579,309.119629,0.000110,20.777131,0.000803,20.416845,0.000590,20.428397,0.000534,39627658576795077,0.004295,0.012949
calibration,primer_uds,34.211899,-5.206142,0.808909,0.832297,285.314575,0.000711,21.001690,0.001246,20.526262,0.000772,19.858689,0.000420,39627658572598772,0.013114,0.015701
calibration,primer_uds,34.226043,-5.249023,0.628613,0.604178,242.591156,0.003350,20.021418,0.000506,19.634089,0.000384,19.205618,0.000290,39627658572599185,0.016944,0.058254
calibration,primer_uds,34.249927,-5.171300,0.204042,0.185597,129.279617,0.007676,18.882562,0.000261,18.665419,0.000228,19.053247,0.000272,39627658572599878,0.004478,0.043952
calibration,primer_uds,34.264990,-5.214274,0.787369,0.795006,301.487091,0.000749,20.540375,0.000923,20.086917,0.000576,19.521913,0.000357,39627658572600316,0.014711,0.030564
calibration,primer_uds,34.276201,-5.144287,0.258929,0.269849,164.368256,0.000500,19.931107,0.000467,19.605982,0.000371,19.712741,0.000373,39627658572600678,0.000760,0.013336
calibration,primer_uds,34.328096,-5.133053,0.647969,0.674049,165.609848,0.000971,21.199383,0.000915,20.749390,0.000657,20.259310,0.000475,2349816344477696,0.006753,0.001748
calibration,primer_uds,34.384621,-5.122138,0.669013,0.641585,307.043152,0.001052,20.219027,0.000625,19.774078,0.000440,19.266717,0.000306,39627664599811437,0.008155,0.008092
calibration,primer_uds,34.427563,-5.111952,0.800644,0.821820,245.610886,0.000629,20.735191,0.000719,20.251498,0.000511,19.617074,0.000350,39627664599812885,0.004887,0.031771
calibration,primer_cosmos,150.114715,2.332784,0.373328,0.373124,269.519745,0.000500,19.893871,0.000413,19.489320,0.000330,19.337124,0.000300,39627841603636500,0.015424,0.040882
calibration,primer_cosmos,150.122138,2.298435,0.282891,0.272513,223.763031,0.000942,19.532214,0.000359,19.180359,0.000291,19.241980,0.000290,39627841603636681,0.009132,0.041465
calibration,primer_cosmos,150.154006,2.226172,0.360288,0.376753,114.294846,0.000713,20.570058,0.000722,20.201935,0.000527,20.091596,0.000452,39627841603637402,0.009329,0.090005
calibration,primer_cosmos,150.171396,2.237925,0.338505,0.312163,131.677902,0.001328,19.783549,0.000494,19.406408,0.000360,19.314852,0.000313,39627841603637811,0.023644,0.023371
