jades_id,ra,dec,field,class,class_label,probability
122174,53.063473,-27.785652,goods-s,3,In-between Round Smooth,0.98960280418396
122900,53.08172,-27.784897,goods-s,3,In-between Round Smooth,0.9377262592315674
123749,53.08617,-27.783854,goods-s,3,In-between Round Smooth,0.9618557691574097
123809,53.087334,-27.783777,goods-s,3,In-between Round Smooth,0.9556059241294861
124908,53.149036,-27.782032,goods-s,4,Cigar Shaped Smooth,0.9483781456947327
127055,53.088146,-27.778994,goods-s,4,Cigar Shaped Smooth,0.9564103484153748
129908,53.063522,-27.774864,goods-s,4,Cigar Shaped Smooth,0.8650567531585693
132538,53.09585,-27.771786,goods-s,2,Round Smooth,0.9754252433776855
135470,53.1149,-27.769157,goods-s,3,In-between Round Smooth,0.9828246235847473
136296,53.059128,-27.768375,goods-s,3,In-between Round Smooth,0.8640198707580566
138489,53.060005,-27.766098,goods-s,4,Cigar Shaped Smooth,0.8555588126182556
139263,53.11565,-27.765257,goods-s,3,In-between Round Smooth,0.9782821536064148
142113,53.136395,-27.76086,goods-s,2,Round Smooth,0.9789459705352783
142114,53.111427,-27.761164,goods-s,3,In-between Round Smooth,0.8148935437202454
145737,53.114883,-27.756142,goods-s,3,In-between Round Smooth,0.9708781838417053
146353,53.117992,-27.7553,goods-s,3,In-between Round Smooth,0.8733906149864197
146360,53.11564,-27.755266,goods-s,4,Cigar Shaped Smooth,0.8655838966369629
147112,53.121532,-27.754179,goods-s,3,In-between Round Smooth,0.8961589932441711
147314,53.126877,-27.753899,goods-s,3,In-between Round Smooth,0.939483106136322
147592,53.104774,-27.753435,goods-s,3,In-between Round Smooth,0.9842031598091125
149831,53.13132,-27.749983,goods-s,4,Cigar Shaped Smooth,0.8276533484458923
151798,53.113026,-27.745642,goods-s,2,Round Smooth,0.9071010947227478
152869,53.11992,-27.74311,goods-s,2,Round Smooth,0.8906183242797852
153063,53.109055,-27.742655,goods-s,3,In-between Round Smooth,0.9427676200866699
153105,53.14181,-27.7426,goods-s,3,In-between Round Smooth,0.9113190174102783
153784,53.162285,-27.7407,goods-s,3,In-between Round Smooth,0.8919578790664673
153831,53.10923,-27.740725,goods-s,4,Cigar Shaped Smooth,0.9958545565605164
153910,53.104645,-27.740541,goods-s,2,Round Smooth,0.8380351066589355
154518,53.130566,-27.738693,goods-s,4,Cigar Shaped Smooth,0.9896173477172852
154985,53.19217,-27.737413,goods-s,3,In-between Round Smooth,0.9622504711151123
155421,53.191,-27.735561,goods-s,2,Round Smooth,0.9632853269577026
156107,53.111553,-27.732931,goods-s,3,In-between Round Smooth,0.803061306476593
156146,53.141136,-27.732738,goods-s,2,Round Smooth,0.9784383773803711
156176,53.116745,-27.732704,goods-s,4,Cigar Shaped Smooth,0.963523805141449
156253,53.1008,-27.7324,goods-s,3,In-between Round Smooth,0.988523542881012
156380,53.11639,-27.731647,goods-s,3,In-between Round Smooth,0.8570589423179626
157310,53.117138,-27.919832,goods-s,2,Round Smooth,0.987145185470581
157504,53.114887,-27.917244,goods-s,3,In-between Round Smooth,0.8638787865638733
158273,53.07285,-27.9085,goods-s,2,Round Smooth,0.8204920291900635
158382,53.037266,-27.907265,goods-s,3,In-between Round Smooth,0.972984254360199
158477,53.075172,-27.906906,goods-s,3,In-between Round Smooth,0.9634727239608765
158538,53.07153,-27.90609,goods-s,4,Cigar Shaped Smooth,0.8701770305633545
158965,53.055065,-27.904263,goods-s,3,In-between Round Smooth,0.813190758228302
159268,53.0591,-27.902933,goods-s,2,Round Smooth,0.9646985530853271
159394,53.06789,-27.902336,goods-s,3,In-between Round Smooth,0.8864216804504395
159747,53.03435,-27.901165,goods-s,3,In-between Round Smooth,0.9617353677749634
159978,53.06867,-27.900251,goods-s,2,Round Smooth,0.9718011021614075
160057,53.082623,-27.899603,goods-s,3,In-between Round Smooth,0.923882246017456
