role,source_field,scene_idx,ra_deg,dec_deg,z_phot_legacy,z_phot_err,legacy_morphology,F444W_peak_sim_units,compactness_F444W,has_F444W
lens_scene,primer_cosmos,0,149.920822,2.310847,0.438632,0.081982,REX,550.789368,0.081421,True
lens_scene,primer_cosmos,1,149.920828,2.306866,0.956827,0.096482,DEV,131.132904,0.073930,True
lens_scene,primer_cosmos,2,149.921320,2.339177,0.521855,0.064400,REX,135.490616,0.087990,True
lens_scene,primer_cosmos,3,149.921735,2.328010,0.951156,0.076897,EXP,158.474838,0.069035,True
lens_scene,primer_cosmos,4,149.921750,2.322355,0.369664,0.037034,SER,322.808289,0.064111,True
lens_scene,primer_cosmos,5,149.922424,2.368930,0.642719,0.077212,EXP,722.071045,0.156505,True
lens_scene,primer_cosmos,6,149.922954,2.348317,0.536933,0.031286,REX,1150.418823,0.126569,True
lens_scene,primer_cosmos,7,149.923183,2.347726,0.781654,0.039141,REX,1947.170776,0.156139,True
lens_scene,primer_cosmos,8,149.924643,2.345999,0.665784,0.057952,REX,756.261841,0.195706,True
lens_scene,primer_cosmos,9,149.924700,2.361211,0.744340,0.031310,REX,1272.278198,0.169509,True
lens_scene,primer_cosmos,10,149.924963,2.371980,0.703155,0.062857,EXP,602.437134,0.121796,True
lens_scene,primer_cosmos,11,149.925718,2.346360,0.880824,0.067857,REX,497.500793,0.117789,True
lens_scene,primer_cosmos,12,149.927247,2.283779,0.893282,0.096152,EXP,242.161331,0.095198,True
lens_scene,primer_cosmos,13,149.927849,2.364077,0.810198,0.045394,REX,1330.173096,0.224566,True
lens_scene,primer_cosmos,14,149.928625,2.366278,0.944976,0.076267,EXP,444.809021,0.120420,True
lens_scene,primer_cosmos,15,149.929454,2.304280,0.177460,0.033859,SER,2057.376221,0.115320,True
lens_scene,primer_cosmos,16,149.930985,2.370358,0.976209,0.085472,SER,652.831177,0.020413,True
lens_scene,primer_cosmos,17,149.931295,2.296246,0.451175,0.066149,SER,143.168961,0.071097,True
lens_scene,primer_cosmos,18,149.931741,2.280652,0.457457,0.073554,DEV,180.499084,0.145744,True
lens_scene,primer_cosmos,19,149.932370,2.335492,0.499828,0.048082,SER,14391.952148,0.212903,True
lens_scene,primer_cosmos,20,149.932420,2.346203,0.671116,0.037927,REX,2023.032959,0.169017,True
lens_scene,primer_cosmos,21,149.932432,2.349478,0.957511,0.075260,REX,1052.870728,0.266105,True
lens_scene,primer_cosmos,22,149.933938,2.340742,0.890667,0.049399,REX,883.926758,0.173555,True
lens_scene,primer_cosmos,23,149.936487,2.313765,0.976345,0.094898,REX,1126.749268,0.156185,True
lens_scene,primer_cosmos,24,149.936545,2.299644,0.990981,0.087013,EXP,817.986023,0.133719,True
lens_scene,primer_cosmos,25,149.936579,2.301573,0.232354,0.056680,SER,1138.565674,0.086817,True
lens_scene,primer_cosmos,26,149.937055,2.312256,0.469236,0.076253,SER,250.947250,0.060075,True
lens_scene,primer_cosmos,27,149.937862,2.344727,0.889371,0.054167,REX,707.793762,0.212740,True
lens_scene,primer_cosmos,28,149.940439,2.293062,0.469771,0.053241,EXP,1007.976990,0.155934,True
lens_scene,primer_cosmos,29,149.940707,2.330941,0.700393,0.079907,EXP,112.808464,0.064865,True
lens_scene,primer_cosmos,30,149.940937,2.355327,0.855444,0.045303,REX,1832.654175,0.186137,True
lens_scene,primer_cosmos,31,149.941003,2.365253,0.374135,0.051534,SER,1523.931274,0.028902,True
lens_scene,primer_cosmos,32,149.941987,2.298861,0.428752,0.051505,SER,1502.577148,0.165961,True
lens_scene,primer_cosmos,33,149.942902,2.370081,0.992738,0.082719,REX,1320.843872,0.132285,True
lens_scene,primer_cosmos,34,149.943409,2.355982,0.963205,0.074775,REX,232.394577,0.040730,True
lens_scene,primer_cosmos,35,149.944434,2.296346,0.581090,0.059661,EXP,543.528320,0.110141,True
lens_scene,primer_cosmos,36,149.944572,2.348478,0.438239,0.067737,REX,249.999664,0.090579,True
lens_scene,primer_cosmos,37,149.944717,2.365239,0.871405,0.053779,REX,637.546753,0.105606,True
lens_scene,primer_cosmos,38,149.945204,2.299198,0.598069,0.073243,SER,279.881317,0.050845,True
lens_scene,primer_cosmos,39,149.945626,2.368040,0.927823,0.060562,REX,686.707947,0.134583,True
lens_scene,primer_cosmos,40,149.946368,2.302493,0.891290,0.084293,SER,749.936584,0.071644,True
lens_scene,primer_cosmos,41,149.946635,2.304518,0.822189,0.089763,EXP,273.236298,0.067589,True
lens_scene,primer_cosmos,42,149.949749,2.287409,0.694258,0.070842,REX,161.433868,0.091723,True
lens_scene,primer_cosmos,43,149.949791,2.325464,0.272686,0.053794,REX,154.225616,0.069234,True
lens_scene,primer_cosmos,44,149.950226,2.311455,0.820063,0.050691,SER,571.448364,0.092077,True
lens_scene,primer_cosmos,45,149.951009,2.340627,0.900320,0.082839,REX,486.687683,0.087430,True
lens_scene,primer_cosmos,46,149.951323,2.291517,0.803817,0.069055,REX,181.606628,0.071166,True
lens_scene,primer_cosmos,47,149.951357,2.357142,0.949632,0.085966,REX,828.512329,0.149128,True
lens_scene,primer_cosmos,48,149.951660,2.295457,0.743043,0.041934,SER,952.527771,0.116816,True
lens_scene,primer_cosmos,49,149.952614,2.341844,0.968529,0.064595,SER,1814.635986,0.017225,True
lens_scene,primer_cosmos,50,149.955005,2.275689,0.707612,0.055389,REX,590.496399,0.207022,True
lens_scene,primer_cosmos,51,149.955751,2.330978,0.933693,0.097124,EXP,688.727051,0.071114,True
lens_scene,primer_cosmos,52,149.956256,2.338243,0.988476,0.090865,DEV,857.252502,0.189417,True
lens_scene,primer_cosmos,53,149.957106,2.343945,0.931939,0.083542,REX,1009.399597,0.213061,True
lens_scene,primer_cosmos,54,149.959148,2.276923,0.870382,0.035122,REX,1868.858887,0.176111,True
lens_scene,primer_cosmos,55,149.959956,2.362808,0.919489,0.068179,REX,2216.197998,0.204049,True
lens_scene,primer_cosmos,56,149.961415,2.349411,0.889142,0.044763,DEV,2254.365479,0.178255,True
lens_scene,primer_cosmos,57,149.962094,2.298173,0.837153,0.037591,REX,2031.245728,0.188708,True
lens_scene,primer_cosmos,58,149.962463,2.317198,0.355209,0.075836,REX,756.510498,0.200060,True
lens_scene,primer_cosmos,59,149.963321,2.313882,0.468544,0.081311,EXP,100.514824,0.139649,True
